HCL AppScan on Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Description,Report Date U T C,Total Issues In The Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Static_jazzcalm_workspace_2023-02-17_04-22-33_2023-03-02,,2023-03-02T10:34:18Z,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Impact,Business Unit,Description,Hosts,Max Severity,Risk Rating,Testing Status,Url,Date Created,Last Updated,Availability Requirement,Collateral Damage Potential,Confidentiality Requirement,Integrity Requirement,Target Distribution,Business Owner,Development Contact,Tester,,,,,,,,,,,,,,,,
fb3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js:536,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
073654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:1087,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
fe3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js:537,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
013754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js:631,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\properties.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
043754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\update.js:111,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\update.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
073754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\update.js:147,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\update.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
c2f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1050,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
c5f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1055,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
c8f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1078,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
0a3754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\update.js:234,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\update.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
0d3754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:66,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
103754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:257,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
163754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:518,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
203754a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js:929,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\utils.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
cbf85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1079,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
cef85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1080,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
d1f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1081,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
d4f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1082,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
d7f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1093,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
daf85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1096,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
e0f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1099,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
e2f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1118,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
e5f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1122,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
e8f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1123,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
ebf85b9e-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js:1127,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\disk1\launchpad\Mozilla.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
a1a36692-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,java.lang.Runtime.exec(String[]):Process com.ibm.build.block.udeploy.internal.AbstractUDeployTask:159,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,159,com.ibm.build.block.udeploy.internal.AbstractUDeployTask.runUdCommand(java.util.List;boolean):com.fasterxml.jackson.databind.JsonNode,,Sast,,0,,,,,,com.ibm.build.block.udeploy.internal.AbstractUDeployTask,f0a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
